datetime,line,station,enter_04_05,exit_04_05,enter_05_06,exit_05_06,enter_06_07,exit_06_07,enter_07_08,exit_07_08,enter_08_09,exit_08_09,enter_09_10,exit_09_10,enter_10_11,exit_10_11,enter_11_12,exit_11_12,enter_12_13,exit_12_13,enter_13_14,exit_13_14,enter_14_15,exit_14_15,enter_15_16,exit_15_16,enter_16_17,exit_16_17,enter_17_18,exit_17_18,enter_18_19,exit_18_19,enter_19_20,exit_19_20,enter_20_21,exit_20_21,enter_21_22,exit_21_22,enter_22_23,exit_22_23,enter_23_24,exit_23_24,enter_00_01,exit_00_01,enter_01_02,exit_01_02,enter_02_03,exit_02_03,enter_03_04,exit_03_04,updated,ID,gu_x,gu_y,gu
202009,6호선,합정,15,1,3121,1148,4634,5641,11309,14124,16822,36848,11581,21474,8991,12077,9308,12166,10928,13480,12494,14853,13737,14209,15252,15195,17768,16794,23084,20969,39259,29182,24760,20760,20541,10585,22278,9255,15549,6798,6675,5129,1,31,0,0,0,0,0,0,20201003,6호선합정,마포구,마포구,마포구
202009,6호선,화랑대,6,0,5233,932,17492,2973,51247,5869,45906,9886,20769,5831,11686,4495,9857,5046,10902,5761,9868,6397,8849,6767,8808,9254,10951,10538,11011,16465,9942,31092,5724,28656,3850,15242,3061,13268,2334,10153,1110,6395,1,621,0,0,0,0,0,0,20201003,6호선화랑대,노원구,노원구,노원구
202009,6호선,효창공원앞,7,0,2276,550,4260,4093,13473,6126,19640,18840,11665,11087,7288,5759,6567,5415,7078,5735,7239,6299,7193,6362,7761,6561,9440,7966,12321,10009,18513,15627,9751,11622,5511,6683,4968,6391,3390,4234,1333,2642,4,335,0,0,0,0,0,0,20201003,6호선효창공원앞,용산구,용산구,용산구
202009,7호선,가산디지털단지,594,5,6579,5694,8189,19989,18828,104965,20088,335995,14760,189186,14114,50429,17990,30311,22938,27661,26788,28137,32424,25518,41897,23524,54674,22554,153174,23653,268351,27839,119535,20226,63354,11224,51588,9909,24715,7535,7724,4406,74,569,0,0,0,0,0,0,20201003,7호선가산디지털단지,금천구,금천구,금천구
202009,7호선,강남구청,3,0,1311,1658,3229,10564,5795,28369,7416,91069,6175,79862,6259,28974,7922,17697,9484,15142,11420,16234,14671,12743,19918,11634,22269,12171,37896,12784,72388,14701,43911,10068,26435,6176,26525,5030,15830,3219,4942,2702,6,331,0,0,0,0,0,0,20201003,7호선강남구청,강남구,강남구,강남구
202009,7호선,건대입구,28,0,3546,791,4099,6292,10607,16190,16696,28047,12456,22268,9536,14537,10191,12223,11204,14524,11739,16244,13687,15597,16961,15530,19876,15760,28722,19967,29230,29921,19517,21765,22355,11178,17454,9983,13179,7129,6024,4329,1,1904,0,0,0,0,0,0,20201003,7호선건대입구,광진구,광진구,광진구
202009,7호선,고속터미널,28,1,937,2397,2546,20541,7957,33334,12218,43718,13225,28508,12698,17917,14567,14476,14740,14672,14982,17555,16221,16177,23600,12313,25927,12012,40896,13205,39945,14142,22882,10272,24185,6216,20607,6651,16126,2904,4429,1929,9,185,0,0,0,0,0,0,20201003,7호선고속터미널,서초구,서초구,서초구
202009,7호선,공릉,19,0,5822,1014,12343,3538,31183,9075,35731,18830,18220,11264,12698,8562,11664,8527,12468,10449,12629,11431,13017,11374,13848,13014,15042,15705,15506,20690,18229,33430,10212,30608,7985,16827,6989,14739,5359,11321,2232,8366,2,460,0,0,0,0,0,0,20201003,7호선공릉,노원구,노원구,노원구
202009,7호선,군자,32,1,7909,926,12318,6559,29256,7534,48026,22665,30632,14191,15230,8880,12914,8390,13253,8600,13790,9507,13131,10370,13837,13516,15800,14724,19947,20586,26193,35255,16397,28512,12866,15712,11786,14397,8425,10944,3582,6454,9,382,0,0,0,0,0,0,20201003,7호선군자,광진구,광진구,광진구
202009,7호선,남구로,2,0,17801,1786,14618,6024,27463,28829,29429,91242,18372,42315,12152,15118,10957,12403,11996,11730,12040,12378,12229,12100,13789,13751,16391,17699,34284,29719,68802,29234,31135,20323,15952,13570,11806,15849,6873,10567,2559,5327,9,233,0,0,0,0,0,0,20201003,7호선남구로,구로구,구로구,구로구
202009,7호선,남성,7,0,5361,712,11438,3831,32960,5821,47642,13173,26568,8751,14119,7477,11551,7584,11527,8772,11691,9854,10901,10521,10705,12738,11092,15146,11877,20796,13832,36229,7838,28009,6947,16165,6421,14899,4145,11078,1647,6935,19,454,0,0,0,0,0,0,20201003,7호선남성,동작구,동작구,동작구
202009,7호선,내방,12,0,2283,1455,6234,10462,14524,21842,22669,71652,15103,38648,10661,15193,10956,11458,11802,11701,13999,12953,14325,12071,15863,12340,20004,13118,32742,17199,62891,23775,22724,16985,14833,9766,14805,8695,9085,6274,2881,3470,5,1523,0,1,0,0,0,0,20201003,7호선내방,서초구,서초구,서초구
202009,7호선,노원,34,3,6748,2208,12743,5622,32070,11839,31611,36305,22659,35514,20996,25729,23216,22030,23010,22524,23854,26492,25413,27434,27412,29569,30057,29589,31455,33612,36628,47394,21921,40031,23116,18902,15483,15892,11706,11469,4265,8413,27,897,0,0,0,0,0,0,20201003,7호선노원,노원구,노원구,노원구
202009,7호선,논현,16,0,2237,1239,4610,15147,7674,39541,12571,104332,10763,84456,9226,32075,10916,17910,12341,15649,14336,18659,17835,17806,21748,16370,26443,16585,47086,20676,89796,25506,50570,16860,32141,8963,32476,7914,21671,5593,8613,3981,20,327,0,0,0,0,0,0,20201003,7호선논현,강남구,강남구,강남구
202009,7호선,대림,40,1,11565,961,7426,4198,13697,6196,18110,16285,13248,11629,9771,11643,9868,11288,10724,10859,11131,10950,11843,11143,12592,12039,12714,12820,14649,18556,16407,20347,10156,13345,8001,8955,6357,11586,3743,7253,1815,3493,11,167,0,0,0,0,0,0,20201003,7호선대림,구로구,구로구,구로구
202009,7호선,도봉산,45,2,4193,881,15477,4954,45619,7231,34940,11042,16295,12246,8926,13705,7489,10573,8709,10311,8456,9852,8832,10235,9436,10932,10769,12831,10274,17098,9668,31068,5462,36198,3516,19914,2437,16781,1788,13153,505,8464,22,1639,0,0,0,0,0,0,20201003,7호선도봉산,도봉구,도봉구,도봉구
202009,7호선,뚝섬유원지,12,0,4477,503,7662,3740,17429,5267,24688,10115,15389,7427,7601,5219,6402,6200,6797,7232,7188,8651,7076,10120,8150,12771,9978,13769,12321,18205,15065,27157,11868,20878,9941,12683,11378,12267,10068,7956,4852,4150,1,251,0,0,0,0,0,0,20201003,7호선뚝섬유원지,광진구,광진구,광진구
202009,7호선,마들,11,0,8478,1316,19537,3955,51673,6970,45564,9338,22020,8151,14816,7571,13645,8066,13626,8837,12533,9939,11695,10599,11260,13310,11461,15873,10792,21117,9569,37062,5909,38323,4253,19684,3312,17203,2542,13459,883,8599,5,923,0,0,0,0,0,0,20201003,7호선마들,노원구,노원구,노원구
202009,7호선,먹골,30,0,7072,725,11078,2688,32688,4640,38609,12388,20900,7973,12161,6889,10797,7314,11462,7773,10791,8752,10305,9746,9919,12042,10087,14751,11117,19774,12937,32135,8128,29033,5414,15921,4757,14632,3213,10663,1399,6676,4,558,0,0,0,0,0,0,20201003,7호선먹골,중랑구,중랑구,중랑구
